genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
Cq0001	SHAPES_DATA	2806.0	2799.0	1.00250089318	207.580734134	60	60	55	1047.67605132	2928.0445474	25	True	1047.6685791	2928.03613281	62.7360687256	55.3343734741	50.0389099121	0.471214769383	126814.0
Cq0001	SHAPES_DATA	3400.0	3392.5	1.00221075903	221.823374748	66	65	52	1371.61823529	2895.04176471	30	True	1371.61120605	2895.05322266	65.7389602661	64.177230835	45.0238800049	0.21667644729	126814.0
Cq0001	SHAPES_DATA	2080.0	2064.5	1.00750787116	175.923879981	51	53	47	1802.21971154	2873.35096154	30	True	1802.19189453	2873.37426758	51.7609939575	49.7896194458	153.355453491	0.273352617397	126814.0
Cq0001	SHAPES_DATA	2935.0	2940.5	0.998129569801	208.651801825	62	65	61	2743.59863714	2876.43543441	32	True	2743.58666992	2876.40429688	61.282951355	59.4530410767	12.7084007263	0.242545713567	126814.0
Cq0001	SHAPES_DATA	3094.0	3111.0	0.994535519126	220.208150744	63	63	53	2529.80963154	2872.63865546	27	True	2529.81567383	2872.64550781	62.7440567017	61.1676292419	134.347366333	0.222751447125	126814.0
Cq0001	SHAPES_DATA	3377.0	3360.0	1.00505952381	220.308655977	67	66	63	2637.4622446	2866.86082322	29	True	2637.46069336	2866.85449219	65.62525177	63.875629425	42.4469070435	0.229370487439	126814.0
Cq0001	SHAPES_DATA	3239.0	3223.5	1.00480843803	217.137083054	68	63	54	1737.64001235	2810.37326335	33	True	1737.57226562	2810.35766602	64.4948883057	62.5597190857	78.4156188965	0.243124870948	126814.0
Cq0001	SHAPES_DATA	2979.0	2971.5	1.00252397779	208.994947672	62	62	56	3204.39812017	2761.86102719	33	True	3204.36547852	2761.87011719	61.5716629028	60.0634460449	141.041564941	0.21997862677	126814.0
Cq0001	SHAPES_DATA	3081.0	3063.0	1.00587659158	212.994947672	64	61	62	3039.81759169	2759.29568322	30	True	3039.81665039	2759.30297852	63.2564315796	60.2958374023	72.2621841431	0.302350098331	126814.0
Cq0001	SHAPES_DATA	2527.0	2516.5	1.00417246175	192.166520596	56	58	44	1337.64740799	2757.33082707	24	True	1337.6619873	2757.33105469	58.052066803	53.7802963257	25.7840156555	0.37650436856	126814.0
Cq0001	SHAPES_DATA	3168.0	3149.5	1.00587394825	213.823374748	62	66	57	2141.98863636	2685.00568182	23	True	2142.01342773	2685.00634766	64.1091461182	61.3303527832	10.2030096054	0.291222742253	126814.0
Cq0001	SHAPES_DATA	2890.0	2906.5	0.994323068983	212.894442439	63	61	50	2815.43287197	2672.2083045	31	True	2815.42871094	2672.21777344	60.8645744324	58.9335136414	57.6449775696	0.249895437293	126814.0
Cq0001	SHAPES_DATA	2891.0	2901.0	0.996552912789	211.480228901	63	62	59	2628.08785887	2663.33379453	28	True	2628.11083984	2663.3269043	62.542350769	57.4072761536	145.27482605	0.396824638285	126814.0
Cq0001	SHAPES_DATA	3204.0	3206.5	0.999220333697	221.96551013	63	65	54	1085.62702871	2658.82178527	30	True	1085.62451172	2658.82861328	64.9606323242	61.2964515686	13.4357481003	0.331105258608	126814.0
Cq0001	SHAPES_DATA	2580.0	2578.0	1.00077579519	197.923879981	60	56	54	1453.77093023	2653.80116279	25	True	1453.70373535	2653.79638672	58.1533279419	55.041885376	94.7565231323	0.322715891834	126814.0
Cq0001	SHAPES_DATA	3304.0	3285.0	1.00578386606	217.580734134	65	65	65	3080.07506053	2649.10108959	26	True	3080.08984375	2649.11669922	65.207901001	62.7968826294	159.553482056	0.269409644591	126814.0
Cq0001	SHAPES_DATA	3102.0	3093.0	1.00290979631	213.580734134	64	62	49	860.271760155	2632.0141844	25	True	860.232421875	2631.9921875	63.6502113342	60.4494857788	72.5441207886	0.313119222191	126814.0
Cq0001	SHAPES_DATA	2237.0	2215.5	1.00970435568	180.509666443	53	53	41	1816.59365221	2613.62315601	26	True	1816.5994873	2613.62695312	53.3083381653	51.7168273926	11.7046842575	0.242524900284	126814.0
Cq0001	SHAPES_DATA	2874.0	2890.0	0.99446366782	210.551296592	59	65	64	3124.30306193	2559.12595685	29	True	3124.35180664	2559.09130859	63.4450569153	56.3299942017	8.20227622986	0.460123863041	126814.0
Cq0001	SHAPES_DATA	2555.0	2542.5	1.00491642085	193.338093519	59	58	49	3280.02778865	2542.49941292	28	True	3280.00927734	2542.46582031	57.4201278687	55.1032562256	69.0690155029	0.281195407983	126814.0
Cq0001	SHAPES_DATA	2995.0	2991.0	1.00133734537	211.823374748	63	62	50	2503.0427379	2544.99232053	27	True	2503.02001953	2545.00634766	61.9288139343	60.0315856934	96.4415512085	0.245627194172	126814.0
Cq0001	SHAPES_DATA	2909.0	2909.0	1.0	206.894442439	63	62	56	3013.79202475	2526.81815057	26	True	3013.73339844	2526.81640625	60.5079269409	59.6123428345	61.4128684998	0.171415095298	126814.0
Cq0001	SHAPES_DATA	2792.0	2814.0	0.992181947406	207.137083054	63	62	59	1420.03832378	2515.50716332	24	True	1420.14111328	2515.54736328	60.9365959167	57.1438865662	160.870727539	0.347284700467	126814.0
Cq0001	SHAPES_DATA	2536.0	2509.5	1.01055987248	191.095452905	58	56	52	2140.08241325	2460.00197161	25	True	2140.07006836	2460.00561523	56.9306716919	54.938999176	100.253158569	0.262191638463	126814.0
Cq0001	SHAPES_DATA	3178.0	3146.5	1.01001112347	211.681239367	64	61	51	2647.79106356	2444.06387665	31	True	2647.78515625	2444.07177734	64.4156112671	61.0765838623	69.0884399414	0.317780480557	126814.0
Cq0001	SHAPES_DATA	2798.0	2783.5	1.00520926891	203.823374748	60	60	47	624.434238742	2443.04646176	31	True	624.450195312	2443.04077148	59.4619064331	58.1798057556	45.8949241638	0.206539396649	126814.0
Cq0001	SHAPES_DATA	3083.0	3094.0	0.996444731739	217.237588286	63	63	50	1190.12714888	2425.84917288	25	True	1190.15991211	2425.84765625	63.8386497498	59.9147720337	43.4998817444	0.345185582119	126814.0
Cq0001	SHAPES_DATA	3189.0	3194.5	0.998278290812	220.308655977	64	62	52	1529.56036375	2407.42176231	27	True	1529.53942871	2407.44921875	64.2768554688	61.5248374939	59.827835083	0.289477127003	126814.0
Cq0001	SHAPES_DATA	3408.0	3395.0	1.00382916053	224.894442439	66	65	54	2083.36913146	2395.53931925	30	True	2083.37329102	2395.5090332	66.4885406494	63.6406288147	124.397537231	0.289536818781	126814.0
Cq0001	SHAPES_DATA	2770.0	2774.0	0.998558038933	204.651801825	60	63	56	1922.06714801	2394.04729242	30	True	1922.08752441	2394.08056641	58.8595924377	58.4074897766	122.222183228	0.123705594511	126814.0
Cq0001	SHAPES_DATA	3330.0	3340.0	0.997005988024	227.480228901	65	66	66	2746.44294294	2387.87747748	25	True	2746.47192383	2387.86938477	66.3679504395	62.2569389343	145.560409546	0.346480220546	126814.0
Cq0001	SHAPES_DATA	3273.0	3276.5	0.998931786968	220.651801825	66	67	58	2341.30889093	2374.18667889	31	True	2341.33374023	2374.15332031	65.4541549683	62.3146095276	148.353088379	0.30599090204	126814.0
