genotype	HEADER_SHAPES	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	marker_area
Cs002	SHAPES_DATA	1655.0	1618.5	1.02255174544	166.610171676	40	62	62	2154.57885196	2451.40060423	26	True	2154.48095703	2451.10327148	66.7571029663	30.4129924774	156.244918823	0.890196444204	207801.0
Cs002	SHAPES_DATA	1657.0	1633.0	1.01469687691	163.681239367	55	47	49	2524.62643331	2384.84490042	25	True	2524.71557617	2384.75219727	63.2444114685	32.1006546021	53.2031135559	0.861613423877	207801.0
Cs002	SHAPES_DATA	979.0	937.0	1.04482390608	125.597979069	49	24	48	1623.82431052	2319.84780388	19	True	1624.17651367	2319.81274414	51.3515396118	23.2017173767	81.5757064819	0.892108484544	207801.0
Cs002	SHAPES_DATA	953.0	925.0	1.03027027027	130.083260298	24	52	52	1683.02203568	2302.97796432	18	True	1683.09912109	2302.57299805	53.5652885437	21.6756095886	9.00033473969	0.914468205347	207801.0
Cs002	SHAPES_DATA	927.0	907.5	1.02148760331	131.882249832	32	50	48	2119.45523193	2269.7626753	24	True	2119.2878418	2269.40625	54.6579437256	20.6755981445	156.044723511	0.925694280068	207801.0
Cs002	SHAPES_DATA	2200.0	2764.5	0.795803942847	252.651801825	61	69	58	1753.735	2240.00818182	22	True	1755.81152344	2238.62353516	69.788192749	50.838848114	149.902786255	0.685073995224	207801.0
Cs002	SHAPES_DATA	1191.0	1157.0	1.02938634399	133.053822756	39	43	40	1966.62468514	2195.16960537	22	True	1966.60778809	2195.17651367	48.438835144	29.8489151001	36.9962654114	0.78757509942	207801.0
Cs002	SHAPES_DATA	1316.0	1292.0	1.01857585139	144.367531061	46	44	41	1781.88297872	2170.18237082	20	True	1781.92797852	2170.12084961	54.7425231934	29.5165519714	49.6461334229	0.842184959073	207801.0
Cs002	SHAPES_DATA	1264.0	1237.5	1.02141414141	144.024385214	44	47	43	1451.45411392	2165.97389241	26	True	1451.56005859	2165.86254883	56.7716522217	27.2541313171	38.7877426147	0.877232456315	207801.0
Cs002	SHAPES_DATA	860.0	842.5	1.02077151335	126.367531061	39	42	38	1936.28372093	2151.91162791	19	True	1935.96032715	2152.30786133	52.3612442017	20.4214859009	39.7931747437	0.920809997825	207801.0
Cs002	SHAPES_DATA	1059.0	1033.5	1.02467343977	132.911687374	52	27	50	1654.30311615	2128.09442871	19	True	1654.37145996	2128.00317383	52.5914115906	24.8266925812	98.5918502808	0.881562442626	207801.0
Cs002	SHAPES_DATA	1854.0	1824.5	1.01616881337	175.781744599	63	43	58	2009.64455232	2118.79665588	26	True	2009.7097168	2118.87402344	68.1694412231	33.5503616333	114.206680298	0.870504016609	207801.0
Cs002	SHAPES_DATA	637.0	618.5	1.02991107518	110.769551992	45	18	45	2203.93563579	2067.7833595	17	True	2203.67431641	2067.81835938	47.8557548523	16.1959285736	94.6433258057	0.94099077759	207801.0
Cs002	SHAPES_DATA	1083.0	1057.5	1.02411347518	138.426406145	55	24	54	2021.53185596	2041.18097876	19	True	2021.29052734	2041.15515137	57.3894996643	23.0259838104	91.1977844238	0.915980432105	207801.0
Cs002	SHAPES_DATA	1440.0	1410.5	1.0209145693	150.568541527	57	32	52	1868.59166667	2038.94375	25	True	1868.78125	2038.99291992	57.6820983887	30.5788860321	96.3387069702	0.847917729978	207801.0
Cs002	SHAPES_DATA	1313.0	1286.5	1.02059852312	147.639609218	57	32	54	2175.29093679	2019.99009901	24	True	2175.28735352	2019.98950195	58.9817619324	27.1426315308	74.5092163086	0.887822087139	207801.0
Cs002	SHAPES_DATA	1800.0	1767.0	1.01867572156	171.338093519	53	54	50	2009.05888889	1989.10166667	24	True	2008.93994141	1988.98852539	66.2269592285	33.4762420654	135.021026611	0.862839748522	207801.0
Cs002	SHAPES_DATA	1582.0	1551.0	1.01998710509	165.095452905	48	55	53	2556.39127686	1959.98735777	22	True	2556.5090332	1959.82580566	65.9667205811	29.5343055725	39.637840271	0.894176197141	207801.0
Cs002	SHAPES_DATA	1637.0	1610.0	1.01677018634	161.539103985	60	38	58	2031.3579719	1944.96884545	26	True	2031.29919434	1944.94030762	62.8656005859	31.8453292847	107.907615662	0.862203491559	207801.0
Cs002	SHAPES_DATA	859.0	830.5	1.0343166767	122.66904676	22	50	20	2238.36903376	1910.85448196	23	True	2238.38452148	1910.67590332	49.1416091919	20.9765357971	5.0441236496	0.904318215638	207801.0
Cs002	SHAPES_DATA	1638.0	1606.0	1.0199252802	163.338093519	53	50	46	2549.0006105	1896.45054945	26	True	2548.99560547	1896.44616699	64.1126327515	31.3328361511	132.435546875	0.872443223748	207801.0
Cs002	SHAPES_DATA	1600.0	1561.0	1.02498398463	164.994947672	54	51	50	2079.8525	1889.30125	25	True	2079.98022461	1889.42102051	66.7859649658	29.3663063049	133.037704468	0.898140910808	207801.0
Cs002	SHAPES_DATA	1608.0	1577.0	1.01965757768	161.923879981	50	52	49	3142.02487562	1879.13681592	27	True	3142.11376953	1879.04992676	63.885509491	30.8727245331	41.5630683899	0.875481952828	207801.0
Cs002	SHAPES_DATA	1785.0	1761.0	1.0136286201	174.166520596	56	53	50	2492.40840336	1866.65322129	28	True	2492.5012207	1866.76147461	67.0310058594	32.8934745789	134.570632935	0.871317162573	207801.0
Cs002	SHAPES_DATA	1682.0	1657.5	1.01478129713	166.811182141	33	65	65	1800.61533888	1858.76337693	26	True	1800.68261719	1858.78552246	65.4328994751	31.5679740906	3.85690689087	0.875924590868	207801.0
Cs002	SHAPES_DATA	1748.0	1708.0	1.02341920375	170.468036294	33	68	68	1046.59610984	1851.56350114	27	True	1046.71166992	1851.57531738	68.2323150635	31.5855293274	172.022521973	0.886404457108	207801.0
