not-plant	plant
255,255,255	29,43,20
255,255,255	30,46,18
255,255,255	30,46,18
255,255,255	29,42,16
255,255,255	29,42,16
255,255,255	27,44,19
255,255,255	27,44,19
255,255,255	28,45,21
255,255,255	28,45,21
255,255,255	33,46,17
255,255,255	33,46,17
255,255,255	87,112,31
255,255,255	81,109,28
255,255,255	81,109,28
255,255,255	79,101,30
255,255,255	79,101,30
255,255,255	75,105,27
255,255,255	75,105,27
255,255,255	78,102,26
255,255,255	78,102,26
255,255,255	77,102,28
255,255,255	77,102,28
255,255,255	66,98,36
255,255,255	67,91,38
255,255,255	67,91,38
255,255,255	67,95,32
255,255,255	67,95,32
255,255,255	74,95,38
255,255,255	74,95,38
255,255,255	68,97,38
255,255,255	68,97,38
255,255,255	60,93,37
255,255,255	60,93,37
22,21,18	153,132,101
22,20,19	149,129,88
21,21,19	149,129,88
21,21,18	141,123,90
21,21,18	141,123,90
20,21,18	157,129,95
18,20,18	157,129,95
19,20,17	170,144,103
20,19,18	170,144,103
20,20,19	158,146,113
20,19,18	158,146,113
22,22,19	35,39,20
22,21,19	33,41,18
21,20,18	33,41,18
21,20,16	35,41,20
21,20,16	35,41,20
20,20,16	37,46,20
20,19,17	37,46,20
20,19,17	37,46,18
20,17,18	37,46,18
20,19,19	35,47,23
20,18,18	35,47,23
22,21,18	48,72,26
22,20,19	45,68,29
21,21,18	45,68,29
21,20,17	44,67,26
20,20,17	44,67,26
21,18,17	49,69,28
21,19,18	49,69,28
21,18,18	47,71,29
20,19,18	47,71,29
20,20,19	45,70,27
19,19,18	45,70,27
21,20,18	31,46,18
21,21,18	27,46,19
20,22,18	27,46,19
20,21,18	24,45,18
20,21,18	24,45,18
20,20,18	29,44,17
21,21,19	29,44,17
20,20,19	26,45,18
19,19,19	26,45,18
19,18,18	28,42,17
19,17,18	28,42,17
20,20,18	80,112,28
20,20,17	77,108,29
19,21,17	77,108,29
19,20,17	77,113,27
19,20,18	77,113,27
20,20,19	78,108,30
20,20,19	78,108,30
19,20,19	76,107,30
18,20,19	76,107,30
18,17,20	72,104,28
18,18,18	72,104,28
20,22,19	69,100,40
20,21,16	76,103,35
20,21,16	76,103,35
20,20,16	69,99,34
19,20,18	69,99,34
19,20,19	60,96,35
19,20,19	60,96,35
18,21,18	61,94,35
18,22,20	61,94,35
18,19,21	71,94,31
17,19,19	71,94,31
20,21,18	155,138,91
21,21,17	159,139,96
21,21,17	159,139,96
20,20,18	149,137,97
19,20,18	149,137,97
18,21,19	158,138,93
17,20,19	158,138,93
18,20,19	150,141,106
18,20,18	150,141,106
17,19,18	148,138,110
16,20,17	148,138,110
21,20,18	30,36,16
21,20,17	34,36,19
22,21,18	34,36,19
20,20,19	33,39,17
19,18,19	33,39,17
19,20,18	32,41,19
19,19,19	32,41,19
19,19,19	40,43,19
19,19,17	40,43,19
18,20,15	37,45,20
18,21,16	37,45,20
22,20,18	45,69,26
22,19,18	40,69,23
22,20,18	40,69,23
21,20,18	42,71,29
19,20,19	42,71,29
20,20,19	44,72,27
20,19,19	44,72,27
20,18,19	41,70,26
19,20,18	41,70,26
19,20,17	43,72,26
19,20,17	43,72,26
20,21,18	31,46,18
21,20,18	27,46,19
22,20,18	27,46,19
21,20,17	24,45,18
20,20,19	24,45,18
20,20,20	29,44,17
21,18,19	29,44,17
20,20,18	26,45,18
20,21,18	26,45,18
20,20,18	28,42,17
20,19,19	28,42,17
18,21,20	80,112,28
20,21,21	77,108,29
21,21,19	77,108,29
21,21,18	77,113,27
21,21,19	77,113,27
21,21,21	78,108,30
21,20,20	78,108,30
21,21,19	76,107,30
21,20,19	76,107,30
21,19,19	72,104,28
20,19,18	72,104,28
133,179,249	69,100,40
133,181,245	76,103,35
132,181,248	76,103,35
